ā,a1
á,a2
a,a5
āi,ai1
ái,ai2
ǎi,ai3
ài,ai4
ai,ai5
ān,an1
án,an2
ǎn,an3
àn,an4
āng,ang1
áng,ang2
ǎng,ang3
àng,ang4
āo,ao1
áo,ao2
ǎo,ao3
ào,ao4
ao,ao5
bā,ba1
bá,ba2
bǎ,ba3
bà,ba4
ba,ba5
bāi,bai1
bái,bai2
bǎi,bai3
bài,bai4
bai,bai5
bān,ban1
bǎn,ban3
bàn,ban4
ban,ban5
bāng,bang1
bǎng,bang3
bàng,bang4
bāo,bao1
báo,bao2
bǎo,bao3
bào,bao4
bao,bao5
bēi,bei1
běi,bei3
bèi,bei4
bei,bei5
bēn,ben1
běn,ben3
bèn,ben4
bēng,beng1
béng,beng2
běng,beng3
bèng,beng4
beng,beng5
biān,bian1
biǎn,bian3
biàn,bian4
bian,bian5
biāo,biao1
biǎo,biao3
biào,biao4
biao,biao5
bī,bi1
bí,bi2
bǐ,bi3
bì,bi4
bi,bi5
biē,bie1
bié,bie2
biě,bie3
biè,bie4
bīn,bin1
bǐn,bin3
bìn,bin4
bin,bin5
bīng,bing1
bǐng,bing3
bìng,bing4
bing,bing5
bō,bo1
bó,bo2
bǒ,bo2
bò,bo4
bo,bo5
bū,bu1
bú,bu2
bǔ,bu3
bù,bu4
cā,ca1
cǎ,ca3
cà,ca4
cāi,cai1
cái,cai2
cǎi,cai3
cài,cai4
cān,can1
cán,can2
cǎn,can3
càn,can4
can,can5
cāng,cang1
cáng,cang2
càng,cang4
cang,cang5
cāo,cao1
cáo,cao2
cǎo,cao3
cào,cao4
cao,cao5
cè,ce4
cèi,cei4
cēn,cen1
cén,cen2
cēng,ceng1
céng,ceng2
cèng,ceng4
chā,cha1
chá,cha2
chǎ,cha3
chà,cha4
chāi,chai1
chái,chai2
chǎi,chai3
chài,chai4
chān,chan1
chán,chan2
chǎn,chan3
chàn,chan4
chan,chan5
chāng,chang1
cháng,chang2
chǎng,chang3
chàng,chang4
chang,chang5
chāo,chao1
cháo,chao2
chǎo,chao3
chào,chao4
chē,che1
ché,che2
chě,che3
chè,che4
chēn,chen1
chén,chen2
chěn,chen3
chèn,chen4
chen,chen5
chēng,cheng1
chéng,cheng2
chěng,cheng3
chèng,cheng4
cheng,cheng5
chī,chi1
chí,chi2
chǐ,chi3
chì,chi4
chi,chi5
chōng,chong1
chóng,chong2
chǒng,chong2
chòng,chong4
chōu,chou1
chóu,chou2
chǒu,chou2
chòu,chou4
chuā,chua1
chuǎ,chua3
chuà,chua4
chuāi,chuai1
chuái,chuai2
chuǎi,chuai3
chuài,chuai4
chuān,chuan1
chuán,chuan2
chuǎn,chuan3
chuàn,chuan4
chuāng,chuang1
chuáng,chuang2
chuǎng,chuang3
chuàng,chuang4
chū,chu1
chú,chu2
chǔ,chu3
chù,chu4
chu,chu5
chuī,chui1
chuí,chui2
chuǐ,chui3
chuì,chui4
chūn,chun1
chún,chun2
chǔn,chun3
chuō,chuo1
chuò,chuo4
cī,ci1
cí,ci2
cǐ,ci3
cì,ci4
cōng,cong1
cóng,cong2
cǒng,cong2
còng,cong4
cong,cong5
cōu,cou1
cóu,cou2
còu,cou4
cuān,cuan1
cuán,cuan2
cuàn,cuan4
cū,cu1
cú,cu2
cǔ,cu3
cù,cu4
cui,ci5
cuī,cui1
cuǐ,cui3
cuì,cui4
cūn,cun1
cún,cun2
cǔn,cun3
cùn,cun4
cuō,cuo1
cuó,cuo2
cuǒ,cuo2
cuò,cuo4
dā,da1
dá,da2
dǎ,da3
dà,da4
da,da5
dāi,dai1
dǎi,dai3
dài,dai4
dai,dai5
dān,dan1
dǎn,dan3
dàn,dan4
dāng,dang1
dǎng,dang3
dàng,dang4
dāo,dao1
dáo,dao2
dǎo,dao3
dào,dao4
dao,dao5
dē,de1
dé,de2
de,de5
dèn,den4
dēng,deng1
děng,deng3
dèng,deng4
deng,deng5
diǎ,dia3
diān,dian1
diǎn,dian3
diàn,dian4
dian,dian5
diāo,djiao1
diǎo,diao3
diào,diao4
diao,diao5
dī,di1
dí,di2
dǐ,di3
dì,di4
di,di5
die,de5
diē,die1
dié,die2
diě,die3
diè,die4
dìn,din4
dīng,ding1
dǐng,ding3
dìng,ding4
ding,ding5
diū,diu1
dōng,dong1
dǒng,dong2
dòng,dong4
dong,dong5
dōu,dou1
dǒu,dou2
dòu,dou4
dou,dou5
duān,duan1
duǎn,duan3
duàn,duan4
dū,du1
dú,du2
dǔ,du3
dù,du4
duī,dui1
duǐ,dui3
dùi,dui4
duì,dui4
dūn,dun1
dǔn,dun3
dùn,dun4
dun,dun5
duō,duo1
duó,duo2
duǒ,duo2
duò,duo4
duo,duo5
ē,e1
é,e2
ě,e3
è,e4
e,e5
éi,ei2
ēn,en1
èn,en3
ěn,en3
ēng,eng1
ér,er2
ěr,er3
èr,er4
fā,fa1
fá,fa2
fǎ,fa3
fà,fa4
fa,fa5
fān,fan1
fán,fan2
fǎn,fan3
fàn,fan4
fan,fan5
fāng,fang1
fáng,fang2
fǎng,fang3
fàng,fang4
fang,fang5
fēi,fei1
féi,fei2
fěi,fei3
fèi,fei4
fei,fei5
fēn,fen1
fén,fen2
fěn,fen3
fèn,fen4
fen,fen5
fēng,feng1
féng,feng2
fěng,feng3
fèng,feng4
feng,feng5
fiào,fiao4
fó,fo2
fo,fo5
fōu,fou1
fóu,fou2
fǒu,fou2
fū,fu1
fú,fu2
fǔ,fu3
fù,fu4
fu,fu5
gā,ga1
gá,ga2
gǎ,ga3
gà,ga4
gāi,gai1
gǎi,gai3
gài,gai4
gān,gan1
gǎn,gan3
gàn,gan4
gāng,gang1
gǎng,gang3
gàng,gang4
gāo,gao1
gǎo,gao3
gào,gao4
gē,ge1
gé,ge2
gě,ge3
gè,ge4
ge,ge5
gěi,gei3
gēn,gen1
gén,gen2
gěn,gen3
gèn,gen4
gēng,geng1
gěng,geng3
gèng,geng4
geng,geng5
gōng,gong1
gǒng,gong2
gòng,gong4
gong,gong5
gōu,gou1
gǒu,gou2
gòu,gou4
guā,gua1
guá,gua2
guǎ,gua3
guà,gua4
gua,gua5
guāi,guai1
guǎi,guai3
guài,guai4
guāng,guang1
guǎng,guang3
guàng,guang4
guang,guang5
guān,guan1
guǎn,guan3
guàn,guan4
gū,gu1
gú,gu2
gǔ,gu3
gù,gu4
gu,gu5
guī,gui1
guǐ,gui3
guì,gui4
gǔn,gun3
gùn,gun4
guō,guo1
guó,guo2
guǒ,guo2
guò,guo4
hā,ha1
há,ha2
hǎ,ha3
ha,ha5
hāi,hai1
hái,hai2
hǎi,hai3
hài,hai4
hai,hai5
hāng,hang1
háng,hang2
